date,close,open,high,low
2013-03-19,95.16,95.20,95.74,94.71
2013-03-20,96.03,95.16,96.13,94.81
2013-03-21,94.89,95.99,96.11,94.56
2013-03-22,94.52,94.90,95.13,94.18
2013-03-25,94.17,94.31,94.96,93.53
2013-03-26,94.44,94.15,94.61,93.85
2013-03-27,94.44,94.44,94.91,94.02
2013-03-28,94.14,94.42,94.49,93.85
2013-03-29,94.22,94.13,94.30,93.96
2013-04-01,93.23,94.18,94.37,93.16
2013-04-02,93.44,93.21,93.56,92.54
2013-04-03,93.06,93.42,93.69,92.69
2013-04-04,96.34,93.03,96.41,92.72
2013-04-05,97.53,96.32,97.83,95.80
2013-04-08,99.36,97.84,99.38,97.83
2013-04-09,99.03,99.34,99.66,98.58
2013-04-10,99.78,99.00,99.87,98.88
2013-04-11,99.68,99.77,99.94,99.10
2013-04-12,98.40,99.67,99.80,98.09
2013-04-15,96.78,97.78,98.70,96.34
2013-04-16,97.54,96.74,98.15,95.93
2013-04-17,98.11,97.53,98.43,97.19
2013-04-18,98.17,98.09,98.52,97.62
2013-04-19,99.52,98.14,99.68,98.08
2013-04-22,99.22,99.75,99.88,99.02
2013-04-23,99.47,99.22,99.52,98.47
2013-04-24,99.48,99.47,99.76,99.18
2013-04-25,99.25,99.47,99.56,98.95
2013-04-26,98.05,99.23,99.41,97.54
2013-04-29,97.77,98.03,98.20,97.33
2013-04-30,97.42,97.76,98.12,97.01
2013-05-01,97.39,97.42,97.67,97.03
2013-05-02,97.97,97.37,98.39,97.06
2013-05-03,99.03,97.91,99.26,97.87
2013-05-06,99.34,99.06,99.45,99.00
2013-05-07,99.02,99.33,99.43,98.82
2013-05-08,99.00,98.99,99.15,98.57
2013-05-09,100.61,98.99,100.79,98.62
2013-05-10,101.61,100.56,101.98,100.52
2013-05-13,101.83,101.84,102.14,101.49
2013-05-14,102.36,101.79,102.40,101.24
2013-05-15,102.23,102.34,102.76,101.86
2013-05-16,102.25,102.21,102.68,101.82
2013-05-17,103.21,102.23,103.30,102.05
2013-05-20,102.27,102.94,103.09,102.16
2013-05-21,102.50,102.24,102.88,102.06
2013-05-22,103.16,102.47,103.73,102.33
2013-05-23,102.03,103.13,103.56,100.82
2013-05-24,101.29,102.01,102.58,100.68
2013-05-27,100.94,101.30,101.66,100.72
2013-05-28,102.38,100.93,102.50,100.90
2013-05-29,101.16,102.34,102.52,100.71
2013-05-30,100.73,101.13,101.80,100.45
2013-05-31,100.48,100.71,101.27,100.23
2013-06-03,99.53,100.35,100.72,98.86
2013-06-04,100.03,99.52,100.41,99.30
2013-06-05,99.06,100.00,100.43,98.95
2013-06-06,96.96,99.03,99.47,95.96
2013-06-07,97.55,96.98,97.75,95.02
2013-06-10,98.77,97.50,99.28,97.40
2013-06-11,96.03,98.76,99.04,95.60
2013-06-12,96.03,96.01,97.02,95.13
2013-06-13,95.38,96.01,96.08,93.78
2013-06-14,94.08,95.35,95.81,93.99
2013-06-17,94.51,94.10,95.21,94.08
2013-06-18,95.33,94.49,95.76,94.43
2013-06-19,96.47,95.31,97.01,94.81
2013-06-20,97.28,96.45,98.28,96.19
2013-06-21,97.90,97.26,98.13,96.84
2013-06-24,97.73,97.84,98.70,97.21
2013-06-25,97.81,97.70,98.05,96.96
2013-06-26,97.75,97.78,98.23,97.24
2013-06-27,98.36,97.72,98.57,97.54
2013-06-28,99.14,98.33,99.45,98.33
2013-07-01,99.67,99.25,99.86,99.16
2013-07-02,100.63,99.64,100.72,99.48
2013-07-03,99.92,100.61,100.85,99.24
2013-07-04,100.05,99.89,100.15,99.47
2013-07-05,101.20,100.03,101.22,99.86
2013-07-08,100.97,101.17,101.53,100.77
2013-07-09,101.16,100.94,101.29,100.75
2013-07-10,99.67,101.13,101.21,99.41
2013-07-11,98.96,99.65,99.86,98.27
2013-07-12,99.22,98.94,99.69,98.66
2013-07-15,99.86,99.30,100.48,99.06
2013-07-16,99.09,99.85,100.07,98.88
2013-07-17,99.58,99.07,99.93,99.04
2013-07-18,100.42,99.58,100.65,99.45
2013-07-19,100.65,100.40,100.86,99.83
2013-07-22,99.67,100.70,100.71,99.28
2013-07-23,99.43,99.65,100.18,99.13
2013-07-24,100.25,99.41,100.43,99.37
2013-07-25,99.30,100.23,100.45,98.88
2013-07-26,98.28,99.27,99.41,97.94
2013-07-29,97.95,98.08,98.33,97.61
2013-07-30,98.03,97.93,98.46,97.74
2013-07-31,97.88,98.03,98.52,97.56
2013-08-01,99.55,97.86,99.57,97.63
2013-08-02,98.97,99.53,99.94,98.65
2013-08-05,98.31,98.88,99.15,98.16
2013-08-06,97.75,98.27,98.58,97.51
2013-08-07,96.33,97.72,97.80,96.30
2013-08-08,96.73,96.31,96.93,95.79
2013-08-09,96.22,96.69,96.96,96.11
2013-08-12,96.91,96.19,96.93,95.92
2013-08-13,98.20,96.88,98.34,96.83
2013-08-14,98.14,98.19,98.42,97.84
2013-08-15,97.37,98.11,98.64,97.09
2013-08-16,97.53,97.35,97.77,97.03
2013-08-19,97.56,97.51,98.12,97.34
2013-08-20,97.28,97.55,97.86,96.88
2013-08-21,97.67,97.25,97.98,97.10
2013-08-22,98.73,97.66,98.80,97.55
2013-08-23,98.75,98.71,99.15,98.38
2013-08-26,98.51,98.20,98.84,98.19
2013-08-27,97.03,98.50,98.53,96.96
2013-08-28,97.64,97.01,97.83,96.83
2013-08-29,98.35,97.62,98.51,97.43
2013-08-30,98.17,98.36,98.47,97.86
2013-09-02,99.33,98.34,99.42,98.25
2013-09-03,99.58,99.32,99.86,99.14
2013-09-04,99.76,99.56,99.82,99.30
2013-09-05,100.12,99.73,100.19,99.55
2013-09-06,99.11,100.09,100.22,98.53
2013-09-09,99.58,99.82,100.10,99.32
2013-09-10,100.41,99.56,100.46,99.46
2013-09-11,99.88,100.37,100.60,99.77
2013-09-12,99.55,99.87,99.99,98.99
2013-09-13,99.36,99.54,99.97,99.17
2013-09-16,99.08,99.45,99.48,98.53
2013-09-17,99.12,99.04,99.38,98.97
2013-09-18,97.94,99.11,99.33,97.75
2013-09-19,99.45,97.93,99.58,97.85
2013-09-20,99.31,99.47,99.67,99.14
2013-09-23,98.84,99.15,99.36,98.62
2013-09-24,98.73,98.83,99.17,98.45
2013-09-25,98.44,98.73,98.81,98.35
2013-09-26,98.99,98.44,99.13,98.24
2013-09-27,98.26,98.97,99.04,98.07
2013-09-30,98.23,97.92,98.46,97.48
2013-10-01,98.00,98.19,98.72,97.64
2013-10-02,97.36,97.97,98.08,97.12
2013-10-03,97.27,97.32,97.87,96.92
2013-10-04,97.47,97.24,97.48,96.93
2013-10-07,96.71,97.42,97.44,96.66
2013-10-08,96.88,96.69,97.25,96.55
2013-10-09,97.34,96.86,97.65,96.79
2013-10-10,98.16,97.33,98.27,97.30
2013-10-11,98.58,98.13,98.59,97.90
2013-10-14,98.58,98.07,98.58,98.05
2013-10-15,98.17,98.55,98.70,98.07
2013-10-16,98.77,98.15,98.97,98.12
2013-10-17,97.91,98.76,99.00,97.71
2013-10-18,97.73,97.90,98.15,97.53
2013-10-21,98.19,97.70,98.24,97.66
2013-10-22,98.14,98.17,98.48,97.86
2013-10-23,97.38,98.12,98.19,97.13
2013-10-24,97.28,97.37,97.61,97.15
2013-10-25,97.42,97.27,97.49,96.92
2013-10-28,97.68,97.55,97.79,97.43
2013-10-29,98.19,97.65,98.27,97.43
2013-10-30,98.51,98.17,98.67,98.05
2013-10-31,98.36,98.50,98.57,98.07
2013-11-01,98.69,98.33,98.84,97.79
2013-11-04,98.61,98.70,98.84,98.51
2013-11-05,98.50,98.59,98.67,98.14
2013-11-06,98.66,98.49,98.75,98.38
2013-11-07,98.09,98.65,99.41,97.63
2013-11-08,99.08,98.08,99.21,97.96
2013-11-11,99.16,99.16,99.30,98.89
2013-11-12,99.64,99.13,99.79,99.07
2013-11-13,99.25,99.60,99.67,99.08
